tconst	titleType	primaryTitle	originalTitle	isAdult	2018	endYear	runtimeMinutes	genres
tt10112464	movie	Frank & Fearless	Frank & Fearless	0	2018	\N	97	Comedy
tt10128580	movie	White Mama	White Mama	0	2018	\N	97	Documentary
tt10097482	movie	Butch Hartman's Cult of Personality: OAXIS Discussion	Butch Hartman's Cult of Personality: OAXIS Discussion	0	2018	\N	96	News
tt10116528	movie	Radiance	Radiance	0	2018	\N	96	Biography
tt0137818	movie	Housesitter: The Night They Saved Siegfried's Brain	Housesitter: The Night They Saved Siegfried's Brain	0	2018	\N	95	\N
tt10097954	movie	Quest for Real Immunity	Quest for Real Immunity	0	2018	\N	95	Documentary
tt10021622	movie	16 Bars	16 Bars	0	2018	\N	94	Documentary
tt10018544	tvEpisode	Hayfever/Crash into a Goalpost!/The Harvester's blade has snapped in half!/Charlie the Crane gets a Magnet stuck to his hook!	Hayfever/Crash into a Goalpost!/The Harvester's blade has snapped in half!/Charlie the Crane gets a Magnet stuck to his hook!	0	2018	\N	93	Family
tt10043990	movie	Lo peor de los deseos	Lo peor de los deseos	0	2018	\N	93	Thriller
tt10047356	movie	Eises Kälte - Frozen in Time	Eises Kälte - Frozen in Time	0	2018	\N	92	Mystery
tt10107012	movie	Beyond Blood	Beyond Blood	0	2018	\N	92	Documentary
tt10111576	movie	Hospicio	Hospicio	0	2018	\N	92	Drama
tt10125782	tvMovie	Okhota na vernogo	Okhota na vernogo	0	2018	\N	92	Romance
tt10106604	movie	Passage to Real Immunity	Passage to Real Immunity	0	2018	\N	91	Documentary
tt10143314	tvEpisode	New Year's the Dog	New Year's the Dog	0	2018	\N	91	"Action,Comedy,Crime"
tt10018116	movie	Stage 3	Stage 3	0	2018	\N	90	Action
tt10059648	tvSeries	Once in a Lifetime Sessions	Once in a Lifetime Sessions	0	2018	\N	90	"Documentary,Music"
tt10062286	movie	Lustrum	Lustrum	0	2018	\N	90	Documentary
tt10107356	tvMovie	Sex-Shop DDR: Wildwest nach der Wende	Sex-Shop DDR: Wildwest nach der Wende	0	2018	\N	90	Documentary
tt10111484	movie	Vicar Ka Achar Open Your Mind Before Your Mouth	Vicar Ka Achar Open Your Mind Before Your Mouth	0	2018	\N	90	\N
tt10026722	movie	1200+ Dir	1200+ Dir	0	2018	\N	89	Documentary
tt10089942	movie	Coeur de pierre	Coeur de pierre	0	2018	\N	89	Documentary
tt10021804	movie	Don't Work (1968 - 2018)	Ne travaille pas (1968 - 2018)	0	2018	\N	88	Documentary
tt10049152	movie	Pur laine	Pur laine	0	2018	\N	88	"Comedy,Drama"
tt10111966	tvMovie	The Balagan Life of Marceline Loridan-Ivens	La vie balagan de Marceline Loridan-Ivens	0	2018	\N	88	"Biography,Documentary"
tt0810001	movie	Glastonbury Fayre	Glastonbury Fayre	0	2018	\N	87	"Documentary,Music"
tt10017510	movie	One Family	One Family	0	2018	\N	87	Documentary
tt10028708	movie	Stay	Stay	0	2018	\N	87	"Drama,Romance"
tt10043732	movie	Oblepikhovoe leto	Oblepikhovoe leto	0	2018	\N	87	"Biography,Drama"
tt10022684	movie	Anuttara	Anuttara	0	2018	\N	86	Drama
tt10054330	movie	I Miss Oromia	I Miss Oromia	0	2018	\N	86	Documentary
tt10063078	movie	Antropofaga Makumba	Antropofaga Makumba	0	2018	\N	86	Drama
tt10105618	tvEpisode	Big Fat Ambush	Big Fat Ambush	0	2018	\N	85	Reality-TV
tt10131904	movie	Vse ili nichego	Vse ili nichego	0	2018	\N	85	"Adventure,Comedy"
tt0891581	movie	RxCannabis: A Freedom Tale	RxCannabis: A Freedom Tale	0	2018	\N	83	Documentary
tt10052452	movie	Jeremiah's Woods	Jeremiah's Woods	0	2018	\N	83	"Comedy,Horror"
tt10144202	movie	Fear Man	Fear Man	0	2018	\N	83	Documentary
tt10009602	movie	My Name Is Daniel	Meu Nome é Daniel	0	2018	\N	82	Documentary
tt10040484	movie	A Idade da Água	A Idade da Água	0	2018	\N	82	Documentary
tt10085818	movie	The Secret of the River	The Secret of the River	0	2018	\N	82	"Drama,Romance"
tt10110152	tvMovie	Greek National Opera: The History of Opera in Greece	Ethniki Lyriki Skini: I istoria tis operas stin Ellada	0	2018	\N	82	"Documentary,Music"
tt10140138	movie	Krocken	Krocken	0	2018	\N	82	"Comedy,Drama"
tt10091606	tvEpisode	Dragan Djilas i Bosko Obradovic	Dragan Djilas i Bosko Obradovic	0	2018	\N	81	"Comedy,News,Talk-Show"
tt10129140	movie	Sousa Martins	Sousa Martins	0	2018	\N	81	"Biography,Documentary,History"
tt10140592	movie	Quando as Luzes das Marquises se Apagam - a História da Cinelândia Paulistana	Quando as Luzes das Marquises se Apagam - a História da Cinelândia Paulistana	0	2018	\N	81	Documentary
tt10023206	tvMovie	By Chance	By Chance	0	2018	\N	80	"Drama,Romance"
tt10056334	movie	Octubre	Octubre	0	2018	\N	80	Documentary
tt10079698	movie	Attack in LA	Attack in LA	0	2018	\N	80	Action
tt10092888	movie	Svetlosti Tiha	Svetlosti Tiha	0	2018	\N	80	Documentary
tt10140912	movie	A Stolen Life	Chuzhaya zhizn	0	2018	\N	80	"Drama,Thriller"
tt0449571	video	Bug Wars	Bug Wars	0	2018	\N	79	"Action,Sci-Fi,Thriller"
tt10009960	movie	The Stateless Diplomat	The Stateless Diplomat	0	2018	\N	79	Documentary
tt10065244	tvEpisode	Betrayal Legacy #4	Betrayal Legacy #4	0	2018	\N	79	Game-Show
tt10037872	movie	Matoma: One in a Million	Matoma: One in a Million	0	2018	\N	78	"Documentary,Music"
tt10056330	movie	Rotenberg	Rotenberg	0	2018	\N	78	Documentary
tt10131518	movie	"Self-Portrait in 23 Rounds: A Chapter in David Wojnarowicz's Life, 1989-1991"	"Self-Portrait in 23 Rounds: A Chapter in David Wojnarowicz's Life, 1989-1991"	0	2018	\N	78	Documentary
tt10133414	tvEpisode	Abandon	Abandon	0	2018	\N	78	"Drama,Thriller"
tt10055028	movie	Dolphin Reef	Dolphin Reef	0	2018	\N	77	"Documentary,Family"
tt10048274	tvEpisode	Shadows in the Forest	Shadows in the Forest	0	2018	\N	76	Game-Show
tt10048640	tvEpisode	Smash Up!	Smash Up!	0	2018	\N	76	Game-Show
tt10056028	movie	Fatei and the sea	Fatei and the sea	0	2018	\N	76	Documentary
tt0111414	movie	A Thin Life	A Thin Life	0	2018	\N	75	Comedy
tt10010814	movie	Turtle	Turtle	0	2018	\N	75	Drama
tt10071712	tvSpecial	Philippe Geubels: Bedankt voor alles	Philippe Geubels: Bedankt voor alles	0	2018	\N	75	"Comedy,Documentary"
tt10078502	movie	Stars in the Sky: A Hunting Story	Stars in the Sky: A Hunting Story	0	2018	\N	75	Documentary
tt10109836	movie	Hilda Hilst Pede Contato	Hilda Hilst Pede Contato	0	2018	\N	75	Documentary
tt10128378	movie	Maksymiuk. Koncert na dwoje	Maksymiuk. Koncert na dwoje	0	2018	\N	75	Documentary
tt10141736	movie	Don't Tell Me You Can't Sing	Don't Tell Me You Can't Sing	0	2018	\N	75	Drama
tt10038544	tvEpisode	Episode #7.43	Episode #7.43	0	2018	\N	73	Talk-Show
tt10116006	tvEpisode	Suniffâ Supesharu	Suniffâ Supesharu	0	2018	\N	73	Drama
tt10028594	tvEpisode	Ils ont plongé le monde dans la crise	Ils ont plongé le monde dans la crise	0	2018	\N	72	Documentary
tt10050722	movie	Thing I Don't Get	Thing I Don't Get	0	2018	\N	71	Drama
tt10125304	tvSeries	iKON TV	iKON TV	0	2018	\N	71	Reality-TV
tt10133404	tvEpisode	Those Who Are Already Dead	Those Who Are Already Dead	0	2018	\N	71	"Drama,Thriller"
tt10133406	tvEpisode	No Greater Sorrow	No Greater Sorrow	0	2018	\N	71	"Drama,Thriller"
tt10003350	movie	Lusitanian Ghosts	Lusitanian Ghosts	0	2018	\N	70	"Documentary,Music"
tt10037382	movie	El Hombre de la Montaña	El Hombre de la Montaña	0	2018	\N	70	Documentary
tt10050592	movie	The Age of Sebastian	The Age of Sebastian	0	2018	\N	70	Drama
tt10075070	movie	Os Jovens Baumann	Os Jovens Baumann	0	2018	\N	70	Family
tt10095714	movie	Millae: Good Brother	Millae: Good Brother	0	2018	\N	70	Romance
tt10126230	movie	Wasted Eggs	Wasted Eggs	0	2018	\N	70	"Drama,Family"
tt10133382	tvEpisode	The Anguish of the People	The Anguish of the People	0	2018	\N	70	"Drama,Thriller"
tt10062150	movie	Yücel'in Çiçekleri	Yücel'in Çiçekleri	0	2018	\N	69	"Documentary,History"
tt10133392	tvEpisode	As Smoke in Air	As Smoke in Air	0	2018	\N	69	"Drama,Thriller"
tt10014048	tvMovie	The Colony	The Colony	0	2018	\N	68	"Comedy,Drama"
tt10022158	movie	Worlds of Ursula K. Le Guin	Worlds of Ursula K. Le Guin	0	2018	\N	68	Documentary
tt10102826	movie	Grutarally: The Return of 'Kid's Eating Trash'	Grutarally - Shuvam Shel 'Yeled Ochel MePach'	0	2018	\N	67	"Comedy,Music"
tt10073512	tvMovie	Why We're Here: 15 Years of Rooster Teeth	Why We're Here: 15 Years of Rooster Teeth	0	2018	\N	66	Documentary
tt10091570	tvEpisode	Milan Radicevic i Borko Stefanovic	Milan Radicevic i Borko Stefanovic	0	2018	\N	66	"Comedy,News,Talk-Show"
tt10026686	movie	Piedone nyomában	Piedone nyomában	0	2018	\N	65	Documentary
tt10034256	movie	The Place of the Three Waterfalls. Little Stories of Hiroshima	The Place of the Three Waterfalls. Little Stories of Hiroshima	0	2018	\N	65	Documentary
tt10077600	movie	The Construction of 'Singapore' in Singapore Cinema	The Construction of 'Singapore' in Singapore Cinema	0	2018	\N	65	Documentary
tt10032472	video	"2,000 Throws of Three-sided Coins"	"2,000 Throws of Three-sided Coins"	0	2018	\N	64	"Game-Show,Reality-TV"
tt10097464	movie	Butch Hartman's OAXIS Plan	Butch Hartman's OAXIS Plan	0	2018	\N	64	News
tt10111270	tvEpisode	Daraya: A Library Under Bombs in Syria	Daraya: A Library Under Bombs in Syria	0	2018	\N	64	Documentary
tt10141640	movie	"Flowers Fade Early: Kakopetros, August 28th, 1944"	"Louloudia pou marathikan noris: Kakopetros, 28 Avgoustou1944"	0	2018	\N	64	"Documentary,History"
tt10056564	movie	La fin da la val l'è mia la fin dal mund	La fin da la val l'è mia la fin dal mund	0	2018	\N	63	Documentary
tt10039682	movie	Paranaue: The Documentary	Paranaue: The Documentary	0	2018	\N	62	"Documentary,Music"
tt10049020	tvEpisode	Privacy	Privacy	0	2018	\N	62	Game-Show
tt10091574	tvEpisode	Srdjan Skoro	Srdjan Skoro	0	2018	\N	62	"Comedy,News,Talk-Show"
tt10125578	movie	Change in the Family	Change in the Family	0	2018	\N	62	Documentary
tt10049238	movie	Joan Miró: The Inner Fire	Miró contra Miró	0	2018	\N	61	Documentary
tt10005258	video	Sexy for You: Sakai Aya	Sexy for You: Sakai Aya	0	2018	\N	60	Documentary
tt10025002	tvEpisode	Als de kwartjes vallen	Als de kwartjes vallen	0	2018	\N	60	Reality-TV
tt10027174	movie	Saboa	Saboa	0	2018	\N	60	Drama
tt10048716	tvSpecial	2018 Miracles of Christmas Preview Special	2018 Miracles of Christmas Preview Special	0	2018	\N	60	Romance
tt10049180	tvEpisode	KeyForge	KeyForge	0	2018	\N	60	Game-Show
tt10050182	tvMovie	Special Operations: India Surgical Strike	Special Operations: India Surgical Strike	0	2018	\N	60	Documentary
tt10050268	tvMovie	Special Operations: India Myanmar	Special Operations: India Myanmar	0	2018	\N	60	Documentary
tt10059460	tvMiniSeries	Vixen	Vixen	0	2018	\N	60	Documentary
tt10060378	tvEpisode	Inside the Ambulance at Christmas	Inside the Ambulance at Christmas	0	2018	\N	60	Documentary
tt10065594	tvEpisode	Inside the Ambulance at Christmas	Inside the Ambulance at Christmas	0	2018	\N	60	Documentary
tt10087452	tvSeries	The Late Shift with Nick Gulliver	The Late Shift with Nick Gulliver	0	2018	\N	60	Comedy
tt10089266	tvEpisode	From Wild West to Jackson Pollock	From Wild West to Jackson Pollock	0	2018	\N	60	"Documentary,History"
tt10094548	movie	The Rhythm of Blue	The Rhythm of Blue	0	2018	\N	60	Documentary
tt10102782	movie	Hold Your Horses: The Limit of the Law	Hold Your Horses: The Limit of the Law	0	2018	\N	60	Documentary
tt10120734	tvSeries	Millennials	Millennials	0	2018	\N	60	"Comedy,Drama,Romance"
tt10127790	movie	Die Abenteuer des Tiberius von Hadern	Die Abenteuer des Tiberius von Hadern	0	2018	\N	60	Comedy
tt10035074	tvMovie	Le manuscrit sauvé du KGB: Vie et destin de Vassili Grossman	Le manuscrit sauvé du KGB: Vie et destin de Vassili Grossman	0	2018	\N	59	Documentary
tt10058692	tvMovie	Take That: We've Come a Long Way	Take That: We've Come a Long Way	0	2018	\N	59	Documentary
tt10020560	tvEpisode	Der geteilte Apfel	Der geteilte Apfel	0	2018	\N	58	"Crime,Thriller"
tt10028766	movie	Nationalmuseum - ljuset återvänder	Nationalmuseum - ljuset återvänder	0	2018	\N	58	Documentary
tt10056070	movie	Das Bürgermeistermädchen	Das Bürgermeistermädchen	0	2018	\N	57	"Comedy,Drama"
tt10020654	tvEpisode	Proberen of doen	Proberen of doen	0	2018	\N	56	Reality-TV
tt10064538	tvEpisode	Unearth	Unearth	0	2018	\N	56	Game-Show
tt10137552	tvEpisode	The Origin of Hollywood	The Origin of Hollywood	0	2018	\N	56	Documentary
tt10015900	tvEpisode	Episode #16.29	Episode #16.29	0	2018	\N	55	"Comedy,News,Talk-Show"
tt10020656	tvEpisode	Kantelmoment	Kantelmoment	0	2018	\N	55	Reality-TV
tt10036714	movie	Alone - The Legend of Miriam Yalan-Shtekelis	Levaditi - Agada al Miriam Yalan-Shteklis	0	2018	\N	55	Documentary
tt10051124	movie	Crossing the river of life	Crossing the river of life	0	2018	\N	55	Documentary
tt10054198	movie	Vogel Lost Vogel	Ibed Fogel et Fogel	0	2018	\N	55	Documentary
tt10081528	tvMovie	Triumph Over Adversity in Africa	Triumph Over Adversity in Africa	0	2018	\N	55	"Documentary,History"
